,date_eod,ticker,open,close,high,close.1,volume
0,2001-08-06,SAMPLE,2.075,2.0125,2.075,2.0125,209600
1,2001-08-07,SAMPLE,2.0125,1.96125,2.0225,1.96125,556800
2,2001-08-08,SAMPLE,1.955,2.01375,2.01875,2.01375,170400
3,2001-08-09,SAMPLE,2.01875,2.03125,2.03125,2.03125,264800
4,2001-08-10,SAMPLE,2.0375,2.07125,2.0875,2.07125,181600
5,2001-08-13,SAMPLE,2.07125,2.0825,2.09875,2.0825,240800
6,2001-08-14,SAMPLE,2.075,2.075,2.0825,2.075,168000
7,2001-08-15,SAMPLE,2.075,2.09625,2.10625,2.09625,136800
8,2001-08-16,SAMPLE,2.09125,2.125,2.15625,2.125,228000
9,2001-08-17,SAMPLE,2.125,2.11875,2.125,2.11875,164000
10,2001-08-20,SAMPLE,2.12375,2.125,2.125,2.125,91200
11,2001-08-21,SAMPLE,2.12125,2.05625,2.125,2.05625,108800
12,2001-08-22,SAMPLE,2.06,2.12125,2.12125,2.12125,220000
13,2001-08-23,SAMPLE,2.12125,2.0625,2.125,2.0625,260000
14,2001-08-24,SAMPLE,2.0625,2.125,2.125,2.125,245600
15,2001-08-27,SAMPLE,2.125,2.11875,2.1375,2.11875,263200
16,2001-08-28,SAMPLE,2.11875,2.0625,2.13,2.0625,293600
17,2001-08-29,SAMPLE,2.0625,2.05875,2.06375,2.05875,196800
18,2001-08-30,SAMPLE,2.0525,2.06875,2.10375,2.06875,196000
19,2001-08-31,SAMPLE,2.0625,2.1,2.10625,2.1,140000
20,2001-09-04,SAMPLE,2.10625,2.07625,2.10625,2.07625,58400
21,2001-09-05,SAMPLE,2.0825,2.10875,2.11875,2.10875,117600
22,2001-09-06,SAMPLE,2.11375,2.0975,2.125,2.0975,141600
23,2001-09-07,SAMPLE,2.09375,2.01875,2.1,2.01875,654400
24,2001-09-10,SAMPLE,2.01875,2.01375,2.02,2.01375,420000
25,2001-09-17,SAMPLE,2.01375,1.9875,2.01375,1.9875,35200
26,2001-09-18,SAMPLE,1.975,1.96875,1.975,1.96875,74400
27,2001-09-19,SAMPLE,1.96875,1.90375,1.96875,1.90375,489600
28,2001-09-20,SAMPLE,1.8725,1.84,1.8725,1.84,1253600
29,2001-09-21,SAMPLE,1.84,1.8,1.84,1.8,551200
30,2001-09-24,SAMPLE,1.8,1.78125,1.8,1.78125,1029600
31,2001-09-25,SAMPLE,1.785,1.77625,1.7875,1.77625,230400
32,2001-09-26,SAMPLE,1.8325,1.8125,1.86875,1.8125,397600
33,2001-09-27,SAMPLE,1.80625,1.8,1.8125,1.8,164800
34,2001-09-28,SAMPLE,1.80125,1.8,1.80125,1.8,638400
35,2001-10-01,SAMPLE,1.77875,1.78125,1.78125,1.78125,490400
36,2001-10-02,SAMPLE,1.78125,1.7475,1.78125,1.7475,365600
37,2001-10-03,SAMPLE,1.7475,1.74375,1.7475,1.74375,244800
38,2001-10-04,SAMPLE,1.74375,1.7575,1.7575,1.7575,177600
39,2001-10-05,SAMPLE,1.7625,1.77875,1.78125,1.77875,96000
40,2001-10-08,SAMPLE,1.78375,1.76625,1.78375,1.76625,70400
41,2001-10-09,SAMPLE,1.76625,1.76875,1.77625,1.76875,211200
42,2001-10-10,SAMPLE,1.76875,1.9375,1.9375,1.9375,648000
43,2001-10-11,SAMPLE,1.9375,1.9275,1.9875,1.9275,249600
44,2001-10-12,SAMPLE,1.925,1.9325,1.94375,1.9325,128800
45,2001-10-15,SAMPLE,1.9375,1.9375,1.94375,1.9375,396800
46,2001-10-16,SAMPLE,1.94375,1.9075,1.94375,1.9075,164000
47,2001-10-17,SAMPLE,1.93875,1.95625,2.0025,1.95625,275200
48,2001-10-18,SAMPLE,1.94375,1.88125,1.945,1.88125,217600
49,2001-10-19,SAMPLE,1.88125,1.8775,1.8875,1.8775,84000
50,2001-10-22,SAMPLE,1.88,1.9525,1.95625,1.9525,133600
51,2001-10-23,SAMPLE,1.925,1.9625,1.9625,1.9625,181600
52,2001-10-24,SAMPLE,1.9625,1.98125,1.9875,1.98125,224800
53,2001-10-25,SAMPLE,1.96875,2.05,2.05,2.05,344000
54,2001-10-26,SAMPLE,2.05,2.0875,2.1075,2.0875,1368000
55,2001-10-29,SAMPLE,2.0875,1.99375,2.0875,1.99375,197600
56,2001-10-30,SAMPLE,2.0,1.9625,2.0,1.9625,148800
57,2001-10-31,SAMPLE,1.9625,2.0375,2.0375,2.0375,395200
58,2001-11-01,SAMPLE,2.0375,2.025,2.0375,2.025,200800
59,2001-11-02,SAMPLE,2.025,2.03125,2.0875,2.03125,155200
60,2001-11-05,SAMPLE,2.025,2.0,2.025,2.0,276000
61,2001-11-06,SAMPLE,2.0,2.03875,2.03875,2.03875,339200
62,2001-11-07,SAMPLE,2.04125,1.985,2.055,1.985,242400
63,2001-11-08,SAMPLE,1.9875,2.00375,2.02875,2.00375,102400
64,2001-11-09,SAMPLE,2.00375,2.04375,2.04625,2.04375,112800
65,2001-11-12,SAMPLE,2.045,2.03125,2.045,2.03125,153600
66,2001-11-13,SAMPLE,2.02875,2.04375,2.04375,2.04375,251200
67,2001-11-14,SAMPLE,2.05,2.12125,2.13125,2.12125,172800
68,2001-11-15,SAMPLE,2.125,2.14,2.16375,2.14,168800
69,2001-11-16,SAMPLE,2.14125,2.1125,2.14125,2.1125,142400
70,2001-11-19,SAMPLE,2.11875,2.13875,2.15,2.13875,294400
71,2001-11-20,SAMPLE,2.12,2.08125,2.13,2.08125,173600
72,2001-11-21,SAMPLE,2.0625,2.0625,2.06375,2.0625,748000
73,2001-11-23,SAMPLE,2.0625,2.09375,2.09375,2.09375,87200
74,2001-11-26,SAMPLE,2.1,2.13,2.135,2.13,79200
